capture_index,cadence_order,scenarios,time_steps,repeats,block_size,checkpoint_interval,workers,blocks,non_durable_median_seconds,durable_median_seconds,durable_scenarios_per_second,durable_throughput_loss_percent,cpu_utilization_percent,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,result_persist_p50_ns,result_persist_p95_ns,result_persist_p99_ns,checkpoint_p50_ns,checkpoint_p95_ns,checkpoint_p99_ns,durable_open_ns,completed_restart_seconds,completed_restart_open_ns,crash_workers,crash_recovery_seconds,crash_recovery_open_ns,recovery_computed_scenarios,recomputed_scenarios_after_crash,max_recomputed_scenarios,result_files,manifest_files,bytes_written,checkpoint_samples_dropped,price
1,6000_then_10000,100000000,1,1,10000,6000,8,10000,1.047860167,2.071681542,48269967.160811827,49.419824150,378.205956908,4227875.000000000,5601708.000000000,8266208.000000000,178125.000000000,261000.000000000,344000.000000000,2810875.000000000,3973292.000000000,3973292.000000000,2670750.000000000,0.313693750,313412375.000000000,1,2.745995416,528933583.000000000,40000000,40000000,60000000,10000,3,4097477.000000000,0,10.450021660
1,6000_then_10000,100000000,1,1,10000,10000,8,10000,1.047860167,2.041455625,48984655.250588655,48.670930969,383.007198601,4079750.000000000,5263209.000000000,9175500.000000000,176042.000000000,244458.000000000,336292.000000000,4075625.000000000,4075625.000000000,4075625.000000000,1796333.000000000,0.313981250,313671292.000000000,1,6.162362667,813651667.000000000,100000000,100000000,100000000,10000,2,3681208.000000000,0,10.450021660
2,10000_then_6000,100000000,1,1,10000,10000,8,10000,1.924993417,2.126628041,47022797.627072200,9.481424119,369.108694547,4393708.000000000,5783125.000000000,7593083.000000000,190958.000000000,252041.000000000,470708.000000000,4083917.000000000,4083917.000000000,4083917.000000000,4296917.000000000,1.107277750,1106899791.000000000,1,6.600823042,784123917.000000000,100000000,100000000,100000000,10000,2,3681208.000000000,0,10.450021660
2,10000_then_6000,100000000,1,1,10000,6000,8,10000,1.924993417,2.852418250,35057972.301221952,32.513634107,295.912599774,4620458.000000000,15140208.000000000,39459916.000000000,198375.000000000,545708.000000000,1615750.000000000,3213000.000000000,4590541.000000000,4590541.000000000,1827584.000000000,0.676073500,675719125.000000000,1,2.965578000,660313959.000000000,40000000,40000000,60000000,10000,3,4097477.000000000,0,10.450021660
3,6000_then_10000,100000000,1,1,10000,6000,8,10000,1.071756792,2.102088834,47571728.835889913,49.014676513,381.043601509,4263625.000000000,5820417.000000000,8453125.000000000,180375.000000000,255375.000000000,471459.000000000,2513458.000000000,3476042.000000000,3476042.000000000,2406583.000000000,0.368922583,368587750.000000000,1,3.068467209,880080750.000000000,40000000,40000000,60000000,10000,3,4097477.000000000,0,10.450021660
3,6000_then_10000,100000000,1,1,10000,10000,8,10000,1.071756792,2.151703125,46474812.829953015,50.190303693,367.392225635,4452209.000000000,5659209.000000000,7075667.000000000,200125.000000000,254750.000000000,452375.000000000,4246833.000000000,4246833.000000000,4246833.000000000,2082458.000000000,0.799396625,799062459.000000000,1,6.338803834,837245416.000000000,100000000,100000000,100000000,10000,2,3681208.000000000,0,10.450021660
