scenarios,time_steps,repeats,block_size,checkpoint_interval,workers,blocks,non_durable_median_seconds,durable_median_seconds,durable_scenarios_per_second,durable_throughput_loss_percent,cpu_utilization_percent,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,result_persist_p50_ns,result_persist_p95_ns,result_persist_p99_ns,checkpoint_p50_ns,checkpoint_p95_ns,checkpoint_p99_ns,durable_open_ns,completed_restart_seconds,completed_restart_open_ns,crash_workers,crash_recovery_seconds,crash_recovery_open_ns,recovery_computed_scenarios,recomputed_scenarios_after_crash,max_recomputed_scenarios,result_files,manifest_files,bytes_written,checkpoint_samples_dropped,price
10000000,1,1,1000,1024,8,10000,0.111699542,2.059318917,4855974.427976374,94.575898804,115.806637831,4647291.000000000,5955416.000000000,18391333.000000000,174959.000000000,237584.000000000,297917.000000000,2207375.000000000,3499209.000000000,3499209.000000000,3262833.000000000,0.395051166,394741625.000000000,1,1.903365125,91078417.000000000,8976000,1024000,1024000,10000,11,6984106.000000000,0,10.453604072
10000000,1,1,1000,6000,8,10000,0.111699542,2.146952583,4657764.721578856,94.797298139,111.332500723,4783291.000000000,5639166.000000000,26941500.000000000,191375.000000000,234416.000000000,301083.000000000,2840750.000000000,5338334.000000000,5338334.000000000,1995041.000000000,0.501860625,501529541.000000000,1,1.566720750,761145209.000000000,4000000,4000000,6000000,10000,3,4097474.000000000,0,10.453604072
