scenarios,time_steps,repeats,block_size,checkpoint_interval,workers,blocks,non_durable_median_seconds,durable_median_seconds,durable_scenarios_per_second,throughput_overhead_percent,cpu_utilization_percent,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,result_persist_p50_ns,result_persist_p95_ns,result_persist_p99_ns,checkpoint_p50_ns,checkpoint_p95_ns,checkpoint_p99_ns,durable_open_ns,completed_restart_seconds,completed_restart_open_ns,crash_workers,crash_recovery_seconds,crash_recovery_open_ns,recovery_computed_scenarios,recomputed_scenarios_after_crash,max_recomputed_scenarios,result_files,manifest_files,bytes_written,checkpoint_samples_dropped,price
200000,1,3,2048,1,8,98,0.003113916,0.048550958,4119383.184982673,93.586293395,120.351899132,11193208.000000000,12767417.000000000,13195208.000000000,216041.000000000,312458.000000000,615625.000000000,221583.000000000,302042.000000000,445083.000000000,1301208.000000000,0.004526291,4500000.000000000,1,0.052505041,871292.000000000,197952,2048,2048,98,99,405578.000000000,0,10.462563283
200000,1,3,2048,4,8,98,0.003113916,0.031221625,6405816.481365080,90.026412783,121.864252741,6692166.000000000,9568083.000000000,9742084.000000000,194916.000000000,493584.000000000,995000.000000000,225084.000000000,303000.000000000,591875.000000000,991709.000000000,0.003194000,3177250.000000000,1,0.029647333,1094625.000000000,191808,8192,8192,98,26,129741.000000000,0,10.462563283
200000,1,3,2048,16,8,98,0.003113916,0.023582833,8480745.294681093,86.795835767,136.539999244,5211625.000000000,6581208.000000000,6827916.000000000,189500.000000000,340333.000000000,638208.000000000,212791.000000000,289750.000000000,289750.000000000,1223208.000000000,0.003174542,3153875.000000000,1,0.020659125,2294166.000000000,167232,32768,32768,98,8,62403.000000000,0,10.462563283
200000,1,3,2048,64,8,98,0.003113916,0.023150750,8639028.973143417,86.549394728,136.094942928,4495250.000000000,6391959.000000000,6877584.000000000,175250.000000000,362833.000000000,806125.000000000,224375.000000000,254625.000000000,254625.000000000,1026167.000000000,0.003789833,3768416.000000000,1,0.014790292,5970875.000000000,68928,68928,131072,98,3,41906.000000000,0,10.462563283
200000,1,3,10000,1,8,20,0.002362666,0.010529875,18993577.796507556,77.562259761,213.525801588,4236333.000000000,6738250.000000000,6890333.000000000,173208.000000000,213792.000000000,309542.000000000,164208.000000000,219333.000000000,318875.000000000,874084.000000000,0.001044417,1028708.000000000,1,0.012598167,805208.000000000,190000,10000,10000,20,21,27356.000000000,0,10.462563283
200000,1,3,10000,4,8,20,0.002362666,0.006146791,32537302.797508486,61.562610474,324.244252575,1668875.000000000,2468500.000000000,2628583.000000000,169667.000000000,189125.000000000,433750.000000000,165375.000000000,172250.000000000,172250.000000000,831375.000000000,0.000931416,914875.000000000,1,0.010663125,903458.000000000,160000,40000,40000,20,6,12521.000000000,0,10.462563283
200000,1,3,10000,16,8,20,0.002362666,0.006930250,28858987.771003932,65.907925400,277.045883352,2325708.000000000,3352375.000000000,3438500.000000000,185042.000000000,222083.000000000,412125.000000000,178458.000000000,179542.000000000,179542.000000000,877208.000000000,0.000927500,909041.000000000,1,0.004301042,1336875.000000000,40000,40000,160000,20,3,9890.000000000,0,10.462563283
200000,1,3,10000,64,8,20,0.002362666,0.006682792,29927611.094285145,64.645525403,285.988056230,2107125.000000000,2776459.000000000,2844125.000000000,181541.000000000,201042.000000000,201875.000000000,178000.000000000,178000.000000000,178000.000000000,890250.000000000,0.000885542,870167.000000000,1,0.014145792,1895708.000000000,200000,200000,200000,20,2,8565.000000000,0,10.462563283
