scenarios,time_steps,repeats,block_size,queue_capacity_requested,queue_capacity_resolved,workers_requested,workers_used,metrics_median_seconds,metrics_scenarios_per_second,unobserved_median_seconds,unobserved_scenarios_per_second,metrics_throughput_loss_percent,metrics_speedup,metrics_parallel_efficiency,unobserved_speedup,unobserved_parallel_efficiency,cpu_utilization_percent,price,standard_error,block_compute_p50_ns,block_compute_p95_ns,block_compute_p99_ns,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,assignment_queue_peak,completion_queue_peak,scheduler_blocked_ns,coordinator_blocked_ns,coordinator_consume_ns,coordinator_blocks_per_second,max_reduction_backlog_blocks,max_reduction_backlog_bytes
5000000,1,3,512,8,8,4,4,0.109234375,45773136.890287511,0.107498000,46512493.255688481,1.589586611,2.685942882,0.671485720,2.896243809,0.724060952,411.231354599,10.444555390,0.006578653,34750.000000000,65708.000000000,98417.000000000,18000.000000000,77000.000000000,102542.000000000,8.000000000,8.000000000,105504599.000000000,85297545.000000000,17003547.000000000,574350.751640231,9766,390640
5000000,1,3,512,8,8,8,8,0.091881959,54417646.885391288,0.084997292,58825403.519914493,7.492947555,3.193198047,0.399149756,3.662945132,0.457868142,570.356721428,10.444555390,0.006578653,35375.000000000,80583.000000000,111666.000000000,41000.000000000,158334.000000000,282667.000000000,8.000000000,8.000000000,86055754.000000000,58213927.000000000,11921230.000000000,819210.769358531,9766,390640
5000000,1,3,2048,0,2,1,1,0.272664333,18337565.258306082,0.272272917,18363927.103333600,0.143552329,1.000000000,1.000000000,1.000000000,1.000000000,104.468009023,10.444555390,0.006578653,107958.000000000,119958.000000000,135750.000000000,25542.000000000,30458.000000000,41875.000000000,2.000000000,1.000000000,271950061.000000000,269022058.000000000,3089255.000000000,790481.847565190,2442,97680
5000000,1,3,2048,0,4,2,2,0.155800083,32092409.090693489,0.152773458,32728198.114099111,1.942633753,1.750091064,0.875045532,1.782200394,0.891100197,206.524683559,10.444555390,0.006578653,124667.000000000,133750.000000000,167833.000000000,10625.000000000,26125.000000000,75417.000000000,4.000000000,2.000000000,154814187.000000000,152114263.000000000,3126662.000000000,781024.619866170,2442,97680
5000000,1,3,2048,0,8,4,4,0.094721625,52786256.570239373,0.095155500,52545570.145708866,-0.458052741,2.878585888,0.719646472,2.861347132,0.715336783,414.757453749,10.444555390,0.006578653,137000.000000000,257958.000000000,307792.000000000,13083.000000000,29083.000000000,58375.000000000,8.000000000,8.000000000,93273652.000000000,88246565.000000000,5315168.000000000,459439.852136376,2442,97680
5000000,1,3,2048,0,16,8,8,0.068495500,72997496.185880825,0.068729458,72749009.602258176,-0.341566964,3.980762722,0.497595340,3.961517011,0.495189626,661.703323576,10.444555390,0.006578653,138333.000000000,348292.000000000,686958.000000000,171916.000000000,495208.000000000,761917.000000000,16.000000000,16.000000000,66446144.000000000,60382048.000000000,4750060.000000000,514098.769278704,2442,97680
5000000,1,3,2048,1,1,1,1,0.273859500,18257537.167781290,0.273555792,18277807.110002626,0.110899202,1.000000000,1.000000000,1.000000000,1.000000000,104.454656494,10.444555390,0.006578653,108375.000000000,120208.000000000,134208.000000000,25500.000000000,30417.000000000,41959.000000000,1.000000000,1.000000000,273179861.000000000,270099833.000000000,3177098.000000000,768625.959916880,2442,97680
5000000,1,3,2048,1,1,2,2,0.156129917,32024611.913423356,0.155213958,32213597.697186485,0.586664630,1.754048841,0.877024421,1.762443246,0.881221623,208.611663066,10.444555390,0.006578653,125333.000000000,132833.000000000,168042.000000000,10542.000000000,25333.000000000,55042.000000000,1.000000000,1.000000000,155296940.000000000,151979524.000000000,3325065.000000000,734421.733108977,2442,97680
5000000,1,3,2048,1,1,4,4,0.099114625,50446641.956219882,0.098771625,50621825.853325792,0.346063964,2.763058429,0.690764607,2.769578733,0.692394683,414.641930372,10.444555390,0.006578653,137542.000000000,263125.000000000,306375.000000000,15667.000000000,44875.000000000,78791.000000000,1.000000000,1.000000000,97047093.000000000,89999113.000000000,5730757.000000000,426121.714810103,2442,97680
5000000,1,3,2048,1,1,8,8,0.078070083,64045019.652406417,0.076429917,65419408.999227360,2.100889274,3.507867412,0.438483426,3.579171648,0.447396456,622.689231674,10.444555390,0.006578653,140958.000000000,280417.000000000,326333.000000000,17083.000000000,135667.000000000,276334.000000000,1.000000000,1.000000000,72282256.000000000,70511949.000000000,3489311.000000000,699851.632600247,2442,97680
