scenarios,time_steps,repeats,block_size,checkpoint_interval,workers,blocks,non_durable_median_seconds,durable_median_seconds,durable_scenarios_per_second,throughput_overhead_percent,cpu_utilization_percent,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,result_persist_p50_ns,result_persist_p95_ns,result_persist_p99_ns,checkpoint_p50_ns,checkpoint_p95_ns,checkpoint_p99_ns,durable_open_ns,completed_restart_seconds,completed_restart_open_ns,crash_workers,crash_recovery_seconds,crash_recovery_open_ns,recovery_computed_scenarios,recomputed_scenarios_after_crash,max_recomputed_scenarios,result_files,manifest_files,bytes_written,checkpoint_samples_dropped,price
100000000,1,1,10000,4000,8,10000,1.032473875,2.013992250,49652624.035668463,48.734962858,370.080619724,4166500.000000000,5284750.000000000,7208250.000000000,176041.000000000,238709.000000000,272125.000000000,2939792.000000000,3776000.000000000,3776000.000000000,2815083.000000000,0.629689125,629359333.000000000,1,3.591909792,380920792.000000000,60000000,40000000,40000000,10000,4,4513743.000000000,0,10.450021660
100000000,1,1,10000,6000,8,10000,1.020079875,2.032268916,49206086.464592658,49.805861470,368.403410644,4145667.000000000,5331542.000000000,9233875.000000000,175833.000000000,239792.000000000,301083.000000000,3048083.000000000,3761084.000000000,3761084.000000000,3432458.000000000,0.559986250,559681750.000000000,1,2.656792375,501291458.000000000,40000000,40000000,60000000,10000,3,4097474.000000000,0,10.450021660
100000000,1,1,10000,10000,8,10000,1.111627917,2.069210958,48327600.244614586,46.277690406,359.626405961,4209750.000000000,5517709.000000000,16057208.000000000,181542.000000000,240917.000000000,314709.000000000,3548958.000000000,3548958.000000000,3548958.000000000,3476875.000000000,0.537573875,537175750.000000000,1,6.387057000,795690208.000000000,100000000,100000000,100000000,10000,2,3681205.000000000,0,10.450021660
100000000,1,1,10000,64,8,10000,1.026900042,2.743411916,36450960.724047542,62.568506902,287.224822275,4858084.000000000,8477083.000000000,39080417.000000000,183042.000000000,263458.000000000,965000.000000000,2584833.000000000,3876292.000000000,6228708.000000000,4009458.000000000,0.857319916,856932041.000000000,1,5.518721708,7462708.000000000,99360000,640000,640000,10000,158,60092833.000000000,0,10.450021660
100000000,1,1,10000,1024,8,10000,1.112484917,2.053610542,48694724.707933448,45.827853225,362.405521777,4191167.000000000,5595583.000000000,8407083.000000000,174625.000000000,244125.000000000,317750.000000000,2351666.000000000,3964667.000000000,3964667.000000000,3777209.000000000,0.930014666,929668542.000000000,1,4.923401458,91156583.000000000,89760000,10240000,10240000,10000,11,6984106.000000000,0,10.450021660
